epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.2,1.50142,4.44791,1.58162,0.01637,0.73958,0.10777,0.05435,1.45059,4.16751,1.48261,0.000110787,0.000110787,0.000110787
2,272.209,1.31115,4.0018,1.40981,0.75025,0.20833,0.20083,0.12482,1.50219,3.9224,1.48763,0.000219591,0.000219591,0.000219591
3,400.08,1.39835,3.66881,1.47092,0.49164,0.43924,0.29451,0.1872,1.38648,3.42127,1.42997,0.000326197,0.000326197,0.000326197
4,529.938,1.34735,3.48827,1.41207,0.62716,0.31771,0.26012,0.17304,1.38028,3.50711,1.49022,0.00032311,0.00032311,0.00032311
5,657.976,1.33204,3.38657,1.42536,0.59631,0.31215,0.26591,0.16224,1.40309,3.71526,1.45657,0.000319813,0.000319813,0.000319813
6,785.856,1.36823,3.30267,1.44127,0.42156,0.43642,0.31378,0.20373,1.3644,3.7977,1.46696,0.000316517,0.000316517,0.000316517
7,913.95,1.31881,3.15899,1.4045,0.20829,0.70617,0.42704,0.27812,1.36624,3.29133,1.47704,0.00031322,0.00031322,0.00031322
8,1825.32,1.33687,3.10519,1.43204,0.32119,0.53438,0.38722,0.22986,1.45042,3.27406,1.56809,0.000309923,0.000309923,0.000309923
9,1950.98,1.34261,3.0819,1.42248,0.24659,0.56164,0.39588,0.24769,1.37105,3.93322,1.47604,0.000306626,0.000306626,0.000306626
10,2076.88,1.30309,2.98916,1.41188,0.21823,0.75185,0.38772,0.23346,1.45085,4.63013,1.51359,0.00030333,0.00030333,0.00030333
11,2203.3,1.28437,2.93759,1.39582,0.57983,0.38785,0.41343,0.26109,1.35806,4.15712,1.46964,0.000300033,0.000300033,0.000300033
12,2336.01,1.27868,2.92709,1.41913,0.30108,0.63757,0.4102,0.26495,1.38679,4.18901,1.45974,0.000296736,0.000296736,0.000296736
13,2466.2,1.26155,2.87441,1.40862,0.24388,0.60452,0.44485,0.26573,1.36722,4.55746,1.51302,0.00029344,0.00029344,0.00029344
14,2595.91,1.25051,2.81387,1.39478,0.22186,0.70587,0.45118,0.268,1.4667,3.80096,1.54261,0.000290143,0.000290143,0.000290143
15,2723.61,1.22394,2.71111,1.37399,0.26633,0.6129,0.38254,0.24911,1.44411,4.3433,1.54322,0.000286846,0.000286846,0.000286846
16,2862.05,1.25221,2.72979,1.38999,0.295,0.68924,0.53491,0.34969,1.41141,4.01639,1.52419,0.00028355,0.00028355,0.00028355
17,2992.59,1.24917,2.66009,1.39499,0.34102,0.67944,0.55502,0.355,1.40085,4.44144,1.48564,0.000280253,0.000280253,0.000280253
18,3122.67,1.26594,2.62044,1.41158,0.37366,0.72916,0.54871,0.36895,1.41204,3.61104,1.47557,0.000276956,0.000276956,0.000276956
19,3252.63,1.22365,2.56058,1.39148,0.31792,0.75021,0.60919,0.40432,1.38373,4.20378,1.51414,0.000273659,0.000273659,0.000273659
20,3378.03,1.1888,2.54412,1.37911,0.42787,0.68403,0.69201,0.46487,1.36677,3.36164,1.49135,0.000270363,0.000270363,0.000270363
21,3503.83,1.21764,2.44555,1.39487,0.39628,0.68758,0.6632,0.43267,1.33817,2.88228,1.49131,0.000267066,0.000267066,0.000267066
22,3628.7,1.21613,2.44192,1.39052,0.68205,0.55719,0.72329,0.48703,1.39385,3.18592,1.55858,0.000263769,0.000263769,0.000263769
23,3753.7,1.19645,2.40402,1.37629,0.45115,0.7144,0.6975,0.44583,1.37421,3.59335,1.50499,0.000260473,0.000260473,0.000260473
24,3881.4,1.18881,2.36655,1.396,0.45201,0.7717,0.74775,0.49143,1.35309,3.19874,1.51699,0.000257176,0.000257176,0.000257176
25,4006.81,1.19644,2.3077,1.38773,0.58288,0.73869,0.74556,0.48418,1.38959,3.32151,1.56325,0.000253879,0.000253879,0.000253879
26,4136.3,1.15621,2.26943,1.36087,0.61746,0.6965,0.7767,0.51177,1.43371,3.15887,1.62324,0.000250583,0.000250583,0.000250583
27,4264.56,1.11179,2.20222,1.3273,0.62283,0.60516,0.77999,0.51727,1.4019,3.1123,1.63639,0.000247286,0.000247286,0.000247286
28,4391.75,1.19453,2.18317,1.39011,0.58599,0.80738,0.85505,0.56366,1.41047,3.55717,1.72711,0.000243989,0.000243989,0.000243989
29,4518.64,1.14155,2.19783,1.33253,0.53444,0.75486,0.83526,0.55499,1.42932,4.14181,1.67778,0.000240692,0.000240692,0.000240692
30,4645.24,1.16948,2.15722,1.36017,0.53485,0.85309,0.83837,0.5508,1.39978,3.02945,1.69051,0.000237396,0.000237396,0.000237396
31,4783.27,1.14494,2.04118,1.35808,0.53234,0.90086,0.87866,0.58989,1.41562,3.17725,1.69012,0.000234099,0.000234099,0.000234099
32,4918.27,1.16445,2.01806,1.36276,0.59966,0.88775,0.87026,0.58959,1.40101,3.42449,1.666,0.000230802,0.000230802,0.000230802
33,5044.77,1.11068,1.99901,1.31443,0.60368,0.84863,0.8626,0.57763,1.39119,3.62963,1.6891,0.000227506,0.000227506,0.000227506
34,5169.84,1.14137,2.01016,1.37041,0.59322,0.93459,0.86476,0.5688,1.37566,4.71675,1.64635,0.000224209,0.000224209,0.000224209
35,5295.61,1.09945,1.97841,1.33126,0.59671,0.94241,0.87687,0.57749,1.3626,4.00836,1.61668,0.000220912,0.000220912,0.000220912
36,5420.4,1.15294,1.9638,1.3511,0.64619,0.92327,0.87541,0.60839,1.34428,3.59941,1.61283,0.000217616,0.000217616,0.000217616
37,5550.49,1.14231,1.95839,1.35023,0.53179,0.90076,0.83409,0.55731,1.33535,4.80137,1.54831,0.000214319,0.000214319,0.000214319
38,5683.39,1.13795,1.89496,1.33641,0.62545,0.89549,0.9034,0.61906,1.32204,3.4152,1.60543,0.000211022,0.000211022,0.000211022
39,5817.64,1.12396,1.87215,1.32854,0.67917,0.962,0.88829,0.62424,1.27877,3.92269,1.57746,0.000207725,0.000207725,0.000207725
40,5943.28,1.09316,1.82884,1.33953,0.62402,0.99051,0.91204,0.6456,1.24069,4.4035,1.58581,0.000204429,0.000204429,0.000204429
41,6069.98,1.10443,1.74399,1.32847,0.63802,0.95494,0.89837,0.63236,1.26295,4.36968,1.56178,0.000201132,0.000201132,0.000201132
42,6195.99,1.11535,1.76829,1.33178,0.59603,0.95694,0.89622,0.64542,1.21754,4.68841,1.51889,0.000197835,0.000197835,0.000197835
43,6320.28,1.10734,1.77562,1.3266,0.58887,0.96582,0.89999,0.63196,1.21746,5.18726,1.50194,0.000194539,0.000194539,0.000194539
44,6447.37,1.15165,1.75216,1.3551,0.5343,0.98202,0.87318,0.6043,1.26625,5.887,1.54866,0.000191242,0.000191242,0.000191242
45,6572.14,1.10014,1.71329,1.32774,0.52368,1,0.89626,0.62171,1.255,4.89566,1.53437,0.000187945,0.000187945,0.000187945
46,6699.36,1.09778,1.65388,1.31776,0.59241,1,0.90381,0.62153,1.22552,4.88599,1.53219,0.000184649,0.000184649,0.000184649
47,6826.88,1.09204,1.69606,1.3174,0.54038,0.97,0.84791,0.58814,1.22351,6.32611,1.53464,0.000181352,0.000181352,0.000181352
48,6953.88,1.09766,1.63989,1.32172,0.53799,0.98218,0.88457,0.61397,1.26383,5.58418,1.55112,0.000178055,0.000178055,0.000178055
49,7080.52,1.10226,1.65739,1.31542,0.54767,0.99158,0.84434,0.56819,1.27136,6.84362,1.53135,0.000174758,0.000174758,0.000174758
50,7207.23,1.08517,1.70648,1.29595,0.57267,1,0.88482,0.58576,1.28839,4.97893,1.55973,0.000171462,0.000171462,0.000171462
51,7346.54,1.02634,1.59494,1.27654,0.54895,0.97168,0.89206,0.61107,1.28012,5.62225,1.54704,0.000168165,0.000168165,0.000168165
52,7474.65,1.09742,1.57476,1.32628,0.6105,0.96099,0.91687,0.64311,1.23222,5.0316,1.53161,0.000164868,0.000164868,0.000164868
53,7603.64,1.08002,1.59532,1.30916,0.57677,0.96038,0.91561,0.62819,1.26093,5.28606,1.55727,0.000161572,0.000161572,0.000161572
54,7760.08,1.08943,1.56095,1.31429,0.62815,0.97637,0.90794,0.60594,1.25485,4.84997,1.58669,0.000158275,0.000158275,0.000158275
55,7901.17,1.10188,1.60657,1.33621,0.6017,0.96554,0.91128,0.60535,1.28698,6.0169,1.5827,0.000154978,0.000154978,0.000154978
56,8026.75,1.08031,1.52891,1.30696,0.68889,1,0.95066,0.65012,1.29094,4.25369,1.58564,0.000151682,0.000151682,0.000151682
57,8154.06,1.09993,1.59404,1.32039,0.61282,0.95673,0.92245,0.6322,1.28967,5.70058,1.57262,0.000148385,0.000148385,0.000148385
58,8288.45,1.05394,1.4953,1.29898,0.6573,1,0.93679,0.62783,1.29124,5.36885,1.56175,0.000145088,0.000145088,0.000145088
59,8416.18,1.093,1.48427,1.33115,0.56664,0.96572,0.90019,0.62901,1.24872,6.01582,1.54557,0.000141791,0.000141791,0.000141791
60,8610.92,1.04171,1.4968,1.30327,0.64228,0.9913,0.92172,0.63783,1.24951,5.29408,1.54111,0.000138495,0.000138495,0.000138495
61,8772.14,1.04327,1.44591,1.29233,0.66538,0.97155,0.93551,0.6461,1.23196,5.29951,1.56583,0.000135198,0.000135198,0.000135198
62,8907.87,1.03651,1.4058,1.30333,0.64899,0.99309,0.9459,0.63996,1.29051,4.9346,1.55465,0.000131901,0.000131901,0.000131901
63,9053.52,1.06316,1.46066,1.30803,0.62255,0.96885,0.93148,0.61616,1.26334,6.2482,1.52404,0.000128605,0.000128605,0.000128605
64,9188.29,1.04921,1.45218,1.28873,0.63916,0.99807,0.94253,0.64473,1.24941,4.89603,1.55683,0.000125308,0.000125308,0.000125308
65,9315.85,1.11404,1.46079,1.32449,0.59951,0.98673,0.93354,0.6297,1.23049,6.26534,1.54715,0.000122011,0.000122011,0.000122011
66,9450.6,1.05649,1.43757,1.29662,0.61713,0.99109,0.93056,0.65022,1.22511,5.65454,1.53562,0.000118714,0.000118714,0.000118714
